  Current Time (s),Current Time (years),Pore Volume,Phase1-S11- Volume rate,Phase2-S11- Volume rate,Phase1-S11- Cumulative production,Phase2-S11- Cumulative production,Phase1-S11- Averaged PhaseVolumeFraction,Phase2-S11- Averaged PhaseVolumeFraction,Phase1-S11- Averaged Density,Phase2-S11- Averaged Density
 0.88497326758E-02,0.28062318226E-09,0.30430818085E+01,0.17677665092E-06,0.70710660363E+00,0.15644260838E-08,0.62577043350E-02,0.20000000001E+00,0.79999999999E+00,0.10000000000E+01,0.10000000000E+01
 0.98347059434E-02,0.31185647969E-09,0.30430818085E+01,0.17677665101E-06,0.70710660401E+00,0.17385463594E-08,0.69541854373E-02,0.20000000001E+00,0.79999999999E+00,0.10000000000E+01,0.10000000000E+01
 0.10918176538E-01,0.34621310685E-09,0.30430818085E+01,0.17677665098E-06,0.70710660388E+00,0.19300786625E-08,0.77203146497E-02,0.20000000001E+00,0.79999999998E+00,0.10000000000E+01,0.10000000000E+01
 0.12109994191E-01,0.38400539674E-09,0.30430818085E+01,0.17677664971E-06,0.70710659878E+00,0.21407641944E-08,0.85630567772E-02,0.20000000001E+00,0.79999999999E+00,0.10000000000E+01,0.10000000000E+01
 0.13420993611E-01,0.42557691561E-09,0.30430818085E+01,0.17677664997E-06,0.70710659983E+00,0.23725182799E-08,0.94900731188E-02,0.20000000001E+00,0.79999999998E+00,0.10000000000E+01,0.10000000000E+01
 0.14863092972E-01,0.47130558637E-09,0.30430818085E+01,0.17677665043E-06,0.70710660168E+00,0.26274477745E-08,0.10509791097E-01,0.20000000002E+00,0.79999999998E+00,0.10000000000E+01,0.10000000000E+01
 0.16449402269E-01,0.52160712420E-09,0.30430818085E+01,0.17677665063E-06,0.70710660244E+00,0.29078702189E-08,0.11631480875E-01,0.20000000002E+00,0.79999999998E+00,0.10000000000E+01,0.10000000000E+01
 0.18194342496E-01,0.57693881582E-09,0.30430818085E+01,0.17677665085E-06,0.70710660334E+00,0.32163349082E-08,0.12865339632E-01,0.20000000002E+00,0.79999999998E+00,0.10000000000E+01,0.10000000000E+01
 0.20113776745E-01,0.63780367660E-09,0.30430818085E+01,0.17677665118E-06,0.70710660466E+00,0.35556460670E-08,0.14222584267E-01,0.20000000002E+00,0.79999999998E+00,0.10000000000E+01,0.10000000000E+01
 0.22225154420E-01,0.70475502346E-09,0.30430818085E+01,0.17677665106E-06,0.70710660417E+00,0.39288883414E-08,0.15715553364E-01,0.20000000002E+00,0.79999999997E+00,0.10000000000E+01,0.10000000000E+01
